"Pais,""Puntuacion"",""CrimenOrg"""
Albania,5,4.285813122
Algeria,6.8,4.613818943
Argentina,3.8,4.153169911
Armenia,7,5.090872025
Australia,2.5,5.646382952
Austria,1.4,5.987675018
Azerbaijan,8.6,5.475005245
Bahrain,8.3,5.81543348
Bangladesh,7.6,3.911269912
Barbados,2.6,6.006126575
Belgium,1,5.399205198
Benin,5.4,4.192299962
Bhutan,6.3,6.083588795
Bolivia,6.2,4.932120418
Bosnia and Herzegovina,6.1,3.923883558
Botswana,4.7,5.168790613
Brazil,6.1,3.66941659
Brunei Darussalam,7.9,5.472222328
Bulgaria,3.5,3.708789783
Burundi,8.5,3.314633118
Cambodia,7.9,4.392040936
Cameroon,7.7,4.283905526
Canada,1.5,5.420221116
Chad,9.3,3.136634783
Chile,3.2,5.387800365
China,8.7,4.709174462
Colombia,7.2,2.869266573
Costa Rica,1.7,4.98876707
Cape Verde,8.1,3.186516942
Croatia,3.8,5.108815679
Cyprus,3.2,5.050303261
Czech Republic,2.6,5.671596506
The Democratic Republic of Congo,10,4.33684206
Denmark,1.7,5.807030737
Dominican Republic,6,3.998544976
Ecuador,5.2,4.629176387
Egypt,9.7,3.676621754
El Salvador,6.5,1.890472632
Estonia,1.8,6.26439684
Ethiopia,8.5,4.286715443
Finland,1,6.748407685
France,2.3,5.13322503
Gabon,7.2,4.903667041
Gambia,8.9,5.516779001
Georgia,5.8,5.770297392
Germany,1.3,5.026594695
Ghana,5.3,4.575000143
Greece,3.2,5.251247199
Guatemala,6.9,2.643284961
Honduras,6.6,2.504364207
Hungary,4.9,4.612140083
Iceland,1,6.547647743
India,6.2,4.27147473
Indonesia,7.4,4.082587494
Iran,9.5,4.32043517
Ireland,1.1,5.808974847
Israel,7.7,5.07476159
Italy,2.2,3.47058589
Jamaica,5.2,2.643021088
Japan,3.2,5.360422876
Jordan,8,5.311872826
Kazakhstan,7.4,5.169991884
Kenya,7.2,3.296804108
Kuwait,7.6,5.620447965
Kyrgyzstan,7,3.74365164
Laos,8.1,4.951479236
Latvia,2.8,5.750974312
Lebanon,7.4,4.155342641
Lesotho,4.7,6.365243518
Liberia,6.7,4.258406288
Lithuania,2.7,5.444711745
Luxembourg,1,6.137855845
Macedonia,4,4.272368234
Madagascar,5.8,3.811890791
Malawi,6.4,4.53663552
Malaysia,7.7,5.06795435
Mali,7,3.907195471
Malta,3.2,5.697735628
Mauritania,8.1,3.10451472
Mauritius,3.6,5.836362565
Mexico,6.2,2.551021448
Moldova,5.1,4.3108959
Mongolia,4.7,5.433881175
Montenegro,4.1,4.222610697
Morocco,7,5.663893145
Mozambique,5.8,3.605672544
Namibia,4,5.064154152
Nepal,7.4,4.305228932
Netherlands,1.1,5.840013798
New Zealand,0.7,6.216518991
Nicaragua,5.4,5.678571542
Nigeria,9.1,3.999337298
Norway,1.6,6.61059325
Oman,7.4,6.57135535
Pakistan,8.2,3.083358916
Panama,4.5,5.210458873
Paraguay,6.1,4.217886602
Peru,4.5,3.026274756
Philippines,5.6,4.329193212
Poland,2.9,5.213934645
Portugal,2,6.200609397
Qatar,6.5,6.396888818
Romania,3.9,5.056309423
Russia,9.4,4.426803076
Rwanda,7.4,6.443600148
Saudi Arabia,8.9,6.067728166
Senegal,6.2,4.868594161
Serbia,4.6,4.120706868
Sierra Leone,5.5,4.218515504
Singapore,4.3,6.424984329
Slovak Republic,2.7,4.894065115
Slovenia,1.7,5.651010762
South Africa,4.4,4.241657537
South Korea,2.9,4.949736834
Spain,2,5.661423446
Sri Lanka,8.5,5.018181682
Sweden,1.3,6.200504433
Switzerland,2,6.055672833
Tajikistan,7.9,5.008410598
Tanzania,6.1,4.934228461
Thailand,8.2,4.165259676
Trinidad and Tobago,4.3,3.792111495
Tunisia,6.7,4.377600979
Turkey,7.4,4.830023318
Uganda,8,4.076417199
Ukraine,6.2,3.334620267
United Arab Emirates,7.5,6.556076011
United Kingdom,1.9,5.637743528
The United States of America,3.4,4.948105866
Uruguay,2.5,5.568153165
Venezuela,8.6,2.383004724
Vietnam,7.5,4.872595276
Yemen,9.4,3.209751642
Zambia,7.1,5.035674115
Zimbabwe,8.4,5.471333361
