"Pais","Puntuacion","CrimenOrg","ejercito2016","PBI2016"
"Albania",5,4.285813122,8500,"11861200797.470652"
"Algeria",6.8,4.613818943,317200,"160033844070.57184"
"Argentina",3.8,4.153169911,105450,"557531376217.96692"
"Armenia",7,5.090872025,49100,"10546135160.030987"
"Australia",2.5,5.646382952,57800,"1208846993739.9915"
"Austria",1.4,5.987675018,22400,"395227684138.86182"
"Azerbaijan",8.6,5.475005245,81950,"37867518957.197472"
"Bahrain",8.3,5.81543348,19460,"32250132978.723404"
"Bangladesh",7.6,3.911269912,220950,"221415162445.64813"
"Barbados",2.6,6.006126575,610,"4830000000"
"Belgium",1,5.399205198,33800,"475900865683.64429"
"Benin",5.4,4.192299962,9750,"11821066152.59795"
"Bolivia",6.2,4.932120418,71200,"33941126193.921852"
"Bosnia and Herzegovina",6.1,3.923883558,10500,"16913330693.965273"
"Botswana",4.7,5.168790613,9000,"15646316818.33193"
"Brazil",6.1,3.66941659,729500,"1795700168991.4932"
"Brunei Darussalam",7.9,5.472222328,12100,"11400854267.718817"
"Bulgaria",3.5,3.708789783,31300,"53785050339.366516"
"Burundi",8.5,3.314633118,51050,"2959640987.2994313"
"Cambodia",7.9,4.392040936,191300,"20016747754.019234"
"Cameroon",7.7,4.283905526,23400,"32643697595.837772"
"Canada",1.5,5.420221116,67500,"1528243213982.0796"
"Chad",9.3,3.136634783,39850,"10097778353.765135"
"Chile",3.2,5.387800365,121900,"250440136356.12701"
"China",8.7,4.709174462,2695000,"11233277146512.152"
"Colombia",7.2,2.869266573,481100,"282825012368.255"
"Costa Rica",1.7,4.98876707,9800,"57157992434.180458"
"Cote d'Ivoire",8.1,3.186516942,25000,"47964234560.051407"
"Croatia",3.8,5.108815679,18550,"51596973258.889206"
"Cyprus",3.2,5.050303261,15750,"20890936462.253708"
"Czech Republic",2.6,5.671596506,23200,"195090272402.72888"
"The Democratic Republic of Congo",10,4.33684206,134250,"37134799974.522491"
"Denmark",1.7,5.807030737,16100,"313115929314.33862"
"Dominican Republic",6,3.998544976,71050,"75704720189.560699"
"Ecuador",5.2,4.629176387,40750,"99937695999.999985"
"Egypt",9.7,3.676621754,835500,"332927833278.0379"
"El Salvador",6.5,1.890472632,41500,"24191440000"
"Estonia",1.8,6.26439684,6400,"23996451497.613937"
"Ethiopia",8.5,4.286715443,74296618481.0882,"74296618481.088226"
"Finland",1,6.748407685,24200,"240607907010.38336"
"France",2.3,5.13322503,306100,"2471285607081.7163"
"Gabon",7.2,4.903667041,6700,"14023890620.338383"
"Gambia",8.9,5.516779001,800,"1470006033.9021742"
"Georgia",5.8,5.770297392,26050,"15141758566.78075"
"Germany",1.3,5.026594695,179100,"3466790065011.8267"
"Ghana",5.3,4.575000143,15500,"55009730600.030693"
"Greece",3.2,5.251247199,145350,"195222443512.93729"
"Guatemala",6.9,2.643284961,43050,"66053725049.013809"
"Honduras",6.6,2.504364207,22700,"21717622071.381649"
"Hungary",4.9,4.612140083,39800,"127507473625.63211"
"Iceland",1,6.547647743,250,"20618363255.7616"
